WormBase Sequence Name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene stable ID
Bm182	Bm_v4_ChrX_scaffold_001	12127837	12134287	1	WBGene00220443
Bm183	Bm_v4_ChrX_scaffold_001	12148610	12150490	-1	WBGene00220444
Bm189	Bm_v4_ChrX_scaffold_001	12623433	12624574	1	WBGene00220450
Bm193	Bm_v4_Chr1_scaffold_001	11999725	11999835	1	WBGene00220454
Bm195	Bm_v4_Chr1_scaffold_001	14342640	14342741	-1	WBGene00220456
Bm196	Bm_v4_Chr1_scaffold_001	2738871	2739076	-1	WBGene00220457
Bm197	Bm_v4_Chr1_scaffold_001	2739249	2739698	-1	WBGene00220458
Bm199	Bm_v4_Chr1_scaffold_001	14437067	14437743	-1	WBGene00220460
Bm204	Bm_v4_Chr1_scaffold_001	13006582	13007243	1	WBGene00220465
Bm205	Bm_v4_Chr1_scaffold_001	5111360	5111908	1	WBGene00220466
Bm208	Bm_007	447891	449361	-1	WBGene00220469
Bm216	Bm_v4_ChrX_scaffold_001	1499083	1499596	1	WBGene00220477
Bm219	Bm_v4_Chr1_scaffold_001	2372556	2375746	1	WBGene00220480
Bm220	Bm_v4_Chr2_contig_001	3577998	3580093	-1	WBGene00220481
Bm222	Bm_v4_ChrX_scaffold_001	15967965	15969590	1	WBGene00220483
Bm226	Bm_v4_ChrX_scaffold_001	16186465	16187398	-1	WBGene00220487
Bm228	Bm_v4_ChrX_scaffold_001	16244148	16245897	1	WBGene00220489
Bm230	Bm_v4_Chr4_scaffold_001	11804205	11815027	1	WBGene00220491
Bm231	Bm_v4_Chr2_contig_001	13711070	13712374	-1	WBGene00220492
Bm233	Bm_v4_ChrX_scaffold_001	10498440	10501519	-1	WBGene00220494
Bm234	Bm_019	25363	25659	1	WBGene00220495
Bm235	Bm_019	25694	26633	1	WBGene00220496
Bm237	Bm_v4_ChrX_scaffold_001	22289895	22290964	-1	WBGene00220498
Bm238	Bm_v4_ChrX_scaffold_001	2184635	2185669	-1	WBGene00220499
Bm239	Bm_v4_Chr1_scaffold_001	1070383	1070577	1	WBGene00220500
Bm241	Bm_v4_Chr1_scaffold_001	12044392	12045522	1	WBGene00220502
Bm242	Bm_v4_ChrX_scaffold_001	11148034	11149134	-1	WBGene00220503
Bm243	Bm_v4_ChrX_scaffold_001	22330448	22335638	-1	WBGene00220504
Bm246	Bm_v4_Chr2_contig_001	1777081	1783656	-1	WBGene00220507
Bm249	Bm_058	16639	17654	1	WBGene00220510
Bm250	Bm_v4_Chr1_scaffold_001	12275290	12276947	-1	WBGene00220511
Bm253	Bm_v4_Chr2_contig_001	11223996	11225900	-1	WBGene00220514
Bm254	Bm_v4_Chr3_scaffold_001	4136735	4142403	1	WBGene00220515
Bm255	Bm_v4_Chr3_scaffold_001	4195528	4196212	-1	WBGene00220516
Bm257	Bm_v4_Chr3_scaffold_001	2590474	2590566	-1	WBGene00220518
Bm258	Bm_v4_Chr3_scaffold_001	2671403	2672108	-1	WBGene00220519
Bm261	Bm_v4_Chr2_contig_001	13847808	13850380	1	WBGene00220522
Bm263	Bm_v4_Chr2_contig_001	9318100	9318393	-1	WBGene00220524
Bm264	Bm_v4_Chr2_contig_001	9186637	9189605	1	WBGene00220525
Bm265	Bm_v4_Chr2_contig_001	9060766	9068706	1	WBGene00220526
Bm266	Bm_v4_ChrX_scaffold_001	13117919	13119870	1	WBGene00220527
Bm267	Bm_v4_ChrX_scaffold_001	13126164	13131518	1	WBGene00220528
Bm268	Bm_203	2808	9146	-1	WBGene00220529
Bm269	Bm_v4_ChrX_scaffold_001	21003234	21004319	-1	WBGene00220530
Bm270	Bm_013	56174	57811	1	WBGene00220531
Bm271	Bm_v4_Chr2_contig_001	13062936	13064694	1	WBGene00220532
Bm272	Bm_145	13771	16388	-1	WBGene00220533
Bm275	Bm_009	50646	51607	1	WBGene00220536
Bm276	Bm_009	50694	52429	1	WBGene00220537
Bm277	Bm_009	57699	58474	1	WBGene00220538
Bm278	Bm_v4_Chr2_contig_001	11350085	11353203	-1	WBGene00220539
Bm280	Bm_v4_Chr3_scaffold_001	3007884	3009048	1	WBGene00220541
Bm281	Bm_v4_Chr3_scaffold_001	3006578	3006857	1	WBGene00220542
Bm282	Bm_v4_Chr3_scaffold_001	4798854	4799085	-1	WBGene00220543
Bm283	Bm_v4_Chr1_scaffold_001	3373837	3375273	1	WBGene00220544
Bm285	Bm_v4_ChrX_scaffold_001	19732043	19732147	1	WBGene00220546
Bm286	Bm_v4_ChrX_scaffold_001	20677693	20681381	-1	WBGene00220547
Bm288	Bm_v4_Chr1_scaffold_001	3966750	3971410	-1	WBGene00220549
Bm291	Bm_v4_Chr1_scaffold_001	14001183	14005845	1	WBGene00220552
Bm293	Bm_v4_Chr3_scaffold_001	12764074	12765109	-1	WBGene00220554
Bm294	Bm_v4_Chr3_scaffold_001	5641607	5642346	-1	WBGene00220555
Bm295	Bm_v4_Chr3_scaffold_001	5634829	5638817	-1	WBGene00220556
Bm296	Bm_v4_Chr1_scaffold_001	5330048	5336693	-1	WBGene00220557
Bm300	Bm_v4_ChrX_scaffold_001	21940016	21943425	-1	WBGene00220561
Bm302	Bm_v4_Chr2_contig_001	2023972	2024673	-1	WBGene00220563
Bm303	Bm_v4_Chr2_contig_001	1969425	1970167	-1	WBGene00220564
Bm305	Bm_v4_ChrX_scaffold_001	21815011	21816466	-1	WBGene00220566
Bm307	Bm_v4_ChrX_scaffold_001	9966911	9970985	1	WBGene00220568
Bm312	Bm_v4_ChrX_scaffold_001	9505944	9508145	1	WBGene00220573
Bm315	Bm_v4_ChrX_scaffold_001	9358069	9361042	-1	WBGene00220576
Bm318	Bm_v4_ChrX_scaffold_001	9308858	9311103	-1	WBGene00220579
Bm319	Bm_v4_ChrX_scaffold_001	9302433	9302794	1	WBGene00220580
Bm320	Bm_v4_ChrX_scaffold_001	9172308	9172797	1	WBGene00220581
Bm321	Bm_v4_ChrX_scaffold_001	9098336	9099875	1	WBGene00220582
Bm323	Bm_v4_ChrX_scaffold_001	9075326	9081960	1	WBGene00220584
Bm324	Bm_v4_ChrX_scaffold_001	9056718	9057573	1	WBGene00220585
Bm327	Bm_v4_ChrX_scaffold_001	8785612	8788169	-1	WBGene00220588
Bm328	Bm_v4_ChrX_scaffold_001	8743938	8745734	-1	WBGene00220589
Bm329	Bm_v4_ChrX_scaffold_001	8553589	8555858	1	WBGene00220590
Bm333	Bm_v4_Chr1_scaffold_001	10156962	10161156	1	WBGene00220594
Bm335	Bm_v4_ChrX_scaffold_001	21359629	21360123	-1	WBGene00220596
Bm337	Bm_v4_ChrX_scaffold_001	21431398	21433727	1	WBGene00220598
Bm338	Bm_v4_ChrX_scaffold_001	21688505	21692371	-1	WBGene00220599
Bm339	Bm_v4_Chr1_scaffold_001	1901671	1901784	-1	WBGene00220600
Bm340	Bm_v4_Chr1_scaffold_001	13877503	13878180	1	WBGene00220601
Bm341	Bm_v4_Chr2_contig_001	7535418	7535797	1	WBGene00220602
Bm347	Bm_v4_ChrX_scaffold_001	23191523	23194720	-1	WBGene00220608
Bm348	Bm_v4_ChrX_scaffold_001	23166797	23169976	1	WBGene00220609
Bm349	Bm_v4_ChrX_scaffold_001	16353227	16355197	-1	WBGene00220610
Bm353	Bm_v4_Chr3_scaffold_001	11655616	11656687	1	WBGene00220614
Bm354	Bm_v4_Chr3_scaffold_001	5078059	5079241	-1	WBGene00220615
Bm356	Bm_v4_Chr3_scaffold_001	5044537	5045406	-1	WBGene00220617
Bm357	Bm_v4_Chr3_scaffold_001	5038987	5042385	-1	WBGene00220618
Bm358	Bm_v4_Chr3_scaffold_001	4947396	4948058	1	WBGene00220619
Bm359	Bm_v4_Chr1_scaffold_001	648883	650112	1	WBGene00220620
Bm360	Bm_v4_Chr1_scaffold_001	1651443	1658164	-1	WBGene00220621
Bm363	Bm_v4_ChrX_scaffold_001	10344263	10345340	1	WBGene00220624
Bm364	Bm_v4_Chr1_scaffold_001	12136166	12136755	1	WBGene00220625
Bm365	Bm_043	14600	14758	1	WBGene00220626
Bm366	Bm_v4_Chr4_scaffold_001	12252264	12253097	1	WBGene00220627
Bm367	Bm_v4_Chr4_scaffold_001	12247609	12248730	-1	WBGene00220628
Bm370	Bm_v4_Chr4_scaffold_001	136282	136479	1	WBGene00220631
Bm371	Bm_v4_Chr4_scaffold_001	25431	26399	-1	WBGene00220632
Bm372	Bm_024	13513	13916	1	WBGene00220633
Bm373	Bm_v4_Chr2_contig_001	13973139	13974310	1	WBGene00220634
Bm374	Bm_v4_Chr2_contig_001	4098194	4098780	-1	WBGene00220635
Bm375	Bm_v4_Chr2_contig_001	3892290	3896420	1	WBGene00220636
Bm376	Bm_v4_Chr3_scaffold_001	5341212	5342665	-1	WBGene00220637
Bm377	Bm_v4_Chr3_scaffold_001	5268024	5269888	1	WBGene00220638
Bm380	Bm_v4_ChrX_scaffold_001	14715781	14716255	-1	WBGene00220641
Bm382	Bm_v4_Chr1_scaffold_001	1461523	1463181	1	WBGene00220643
Bm383	Bm_v4_ChrX_scaffold_001	16566872	16567881	1	WBGene00220644
Bm384	Bm_v4_ChrX_scaffold_001	16698398	16699292	1	WBGene00220645
Bm385	Bm_v4_ChrX_scaffold_001	16858586	16859711	-1	WBGene00220646
Bm388	Bm_v4_ChrX_scaffold_001	17282363	17283469	1	WBGene00220649
Bm391	Bm_v4_ChrX_scaffold_001	17638339	17640147	1	WBGene00220652
Bm393	Bm_v4_ChrX_scaffold_001	17697511	17698627	1	WBGene00220654
Bm394	Bm_v4_ChrX_scaffold_001	17762647	17766549	1	WBGene00220655
Bm397	Bm_v4_ChrX_scaffold_001	18083959	18084280	-1	WBGene00220658
Bm398	Bm_v4_ChrX_scaffold_001	18172032	18181528	1	WBGene00220659
Bm399	Bm_v4_ChrX_scaffold_001	18249162	18252673	-1	WBGene00220660
Bm400	Bm_v4_ChrX_scaffold_001	18280996	18281617	1	WBGene00220661
Bm403	Bm_v4_Chr1_scaffold_001	4201071	4201787	-1	WBGene00220664
Bm404	Bm_v4_Chr1_scaffold_001	4234521	4236864	-1	WBGene00220665
Bm405	Bm_v4_ChrX_scaffold_001	24594902	24602357	1	WBGene00220666
Bm407	Bm_v4_ChrX_scaffold_001	5771147	5772504	-1	WBGene00220668
Bm408	Bm_v4_ChrX_scaffold_001	5926675	5928179	-1	WBGene00220669
Bm410	Bm_v4_ChrX_scaffold_001	6160297	6161010	1	WBGene00220671
Bm411	Bm_v4_ChrX_scaffold_001	6199077	6199972	-1	WBGene00220672
Bm412	Bm_v4_ChrX_scaffold_001	6276793	6278015	-1	WBGene00220673
Bm414	Bm_v4_ChrX_scaffold_001	6453379	6454487	1	WBGene00220675
Bm415	Bm_v4_ChrX_scaffold_001	6477898	6479636	-1	WBGene00220676
Bm417	Bm_v4_ChrX_scaffold_001	6668559	6671070	-1	WBGene00220678
Bm418	Bm_v4_ChrX_scaffold_001	6698060	6702923	1	WBGene00220679
Bm420	Bm_v4_ChrX_scaffold_001	6869827	6873388	1	WBGene00220681
Bm421	Bm_v4_ChrX_scaffold_001	6960403	6961062	-1	WBGene00220682
Bm422	Bm_v4_ChrX_scaffold_001	7094174	7094478	-1	WBGene00220683
Bm423	Bm_v4_ChrX_scaffold_001	7185592	7185852	-1	WBGene00220684
Bm424	Bm_v4_ChrX_scaffold_001	7389496	7390808	-1	WBGene00220685
Bm427	Bm_v4_ChrX_scaffold_001	7556906	7557749	1	WBGene00220688
Bm433	Bm_v4_Chr1_scaffold_001	14370615	14374220	1	WBGene00220694
Bm434	Bm_v4_Chr2_contig_001	871816	872552	-1	WBGene00220695
Bm435	Bm_v4_Chr1_scaffold_001	10511636	10512524	-1	WBGene00220696
Bm437	Bm_v4_Chr2_contig_001	4866135	4868238	1	WBGene00220698
Bm441	Bm_v4_Chr3_scaffold_001	11381022	11381762	-1	WBGene00220702
Bm443	Bm_v4_ChrX_scaffold_001	12702902	12704458	1	WBGene00220704
Bm445	Bm_v4_Chr2_contig_001	10102254	10103581	1	WBGene00220706
Bm446	Bm_v4_Chr2_contig_001	10023942	10026355	-1	WBGene00220707
Bm450	Bm_v4_Chr2_contig_001	9700426	9701390	1	WBGene00220711
Bm451	Bm_v4_ChrX_scaffold_001	2321534	2322590	1	WBGene00220712
Bm452	Bm_v4_Chr4_scaffold_001	1260571	1261487	-1	WBGene00220713
Bm453	Bm_v4_Chr1_scaffold_001	3075066	3076452	1	WBGene00220714
Bm455	Bm_v4_Chr1_scaffold_001	6577145	6577425	1	WBGene00220716
Bm457	Bm_v4_Chr1_scaffold_001	6269121	6269545	-1	WBGene00220718
Bm458	Bm_007	123685	123912	1	WBGene00220719
Bm459	Bm_v4_Chr3_scaffold_001	11134344	11135095	1	WBGene00220720
Bm460	Bm_v4_Chr3_scaffold_001	11127240	11127874	1	WBGene00220721
Bm461	Bm_v4_Chr3_scaffold_001	11123434	11124109	1	WBGene00220722
Bm474	Bm_v4_Chr4_scaffold_001	6730423	6731666	1	WBGene00220735
Bm475	Bm_v4_Chr4_scaffold_001	6709843	6712351	1	WBGene00220736
Bm476	Bm_v4_Chr4_scaffold_001	6684953	6691227	1	WBGene00220737
Bm477	Bm_v4_Chr4_scaffold_001	6677088	6688603	-1	WBGene00220738
Bm479	Bm_v4_Chr4_scaffold_001	6515801	6516955	-1	WBGene00220740
Bm481	Bm_v4_Chr4_scaffold_001	6352491	6352901	1	WBGene00220742
Bm482	Bm_v4_Chr4_scaffold_001	6316506	6317749	1	WBGene00220743
Bm483	Bm_v4_Chr4_scaffold_001	5800117	5800606	1	WBGene00220744
Bm484	Bm_v4_Chr4_scaffold_001	5785370	5787947	1	WBGene00220745
Bm485	Bm_v4_Chr4_scaffold_001	5664442	5666393	-1	WBGene00220746
Bm487	Bm_v4_Chr4_scaffold_001	5595368	5596361	1	WBGene00220748
Bm488	Bm_v4_Chr4_scaffold_001	5578975	5586167	-1	WBGene00220749
Bm489	Bm_v4_Chr4_scaffold_001	5561406	5562701	-1	WBGene00220750
Bm490	Bm_v4_Chr4_scaffold_001	5512778	5514547	1	WBGene00220751
Bm491	Bm_v4_Chr4_scaffold_001	5475959	5476881	1	WBGene00220752
Bm492	Bm_v4_Chr4_scaffold_001	5323074	5327970	-1	WBGene00220753
Bm495	Bm_v4_Chr4_scaffold_001	5063170	5065731	1	WBGene00220756
Bm496	Bm_v4_ChrX_scaffold_001	22678597	22680350	1	WBGene00220757
Bm498	Bm_v4_Chr1_scaffold_001	11498910	11499816	1	WBGene00220759
Bm500	Bm_v4_Chr2_contig_001	8471021	8477403	-1	WBGene00220761
Bm501	Bm_v4_Chr2_contig_001	8360496	8361365	-1	WBGene00220762
Bm502	Bm_v4_Chr2_contig_001	8309448	8312745	-1	WBGene00220763
Bm506	Bm_v4_Chr2_contig_001	7880735	7880836	1	WBGene00220767
Bm507	Bm_v4_Chr2_contig_001	7738676	7740442	1	WBGene00220768
Bm509	Bm_v4_Chr4_scaffold_001	389215	391086	-1	WBGene00220770
Bm514	Bm_070	23517	24062	1	WBGene00220775
Bm516	Bm_v4_Chr3_scaffold_001	10487736	10488251	-1	WBGene00220777
Bm519	Bm_v4_Chr4_scaffold_001	581334	581765	-1	WBGene00220780
Bm522	Bm_v4_Chr4_scaffold_001	1949660	1952051	1	WBGene00220783
Bm526	Bm_v4_Chr3_scaffold_001	13444028	13444605	1	WBGene00220787
Bm528	Bm_v4_Chr3_scaffold_001	13572700	13573577	1	WBGene00220789
Bm530	Bm_v4_Chr2_contig_001	501586	502121	1	WBGene00220791
Bm533	Bm_v4_Chr2_contig_001	178712	179818	1	WBGene00220794
Bm536	Bm_v4_Chr2_contig_001	128112	129246	-1	WBGene00220797
Bm537	Bm_v4_Chr2_contig_001	114513	115084	1	WBGene00220798
Bm538	Bm_v4_Chr1_scaffold_001	379422	380258	-1	WBGene00220799
Bm540	Bm_v4_Chr2_contig_001	3463306	3471896	1	WBGene00220801
Bm541	Bm_v4_ChrX_scaffold_001	22900479	22901814	1	WBGene00220802
Bm544	Bm_v4_ChrX_scaffold_001	19349422	19350848	1	WBGene00220805
Bm545	Bm_v4_ChrX_scaffold_001	19416070	19418311	-1	WBGene00220806
Bm546	Bm_v4_ChrX_scaffold_001	19585248	19591370	-1	WBGene00220807
Bm547	Bm_v4_ChrX_scaffold_001	19621655	19622374	-1	WBGene00220808
Bm548	Bm_v4_ChrX_scaffold_001	19625153	19629573	1	WBGene00220809
Bm551	Bm_v4_Chr2_contig_001	1286535	1289317	1	WBGene00220812
Bm556	Bm_v4_Chr2_contig_001	3008653	3015169	-1	WBGene00220817
Bm558	Bm_v4_Chr2_contig_001	3117158	3119983	-1	WBGene00220819
Bm559	Bm_v4_Chr3_scaffold_001	4445025	4446328	1	WBGene00220820
Bm562	Bm_v4_Chr2_contig_001	5588500	5590756	-1	WBGene00220823
Bm564	Bm_v4_Chr2_contig_001	5593754	5594611	-1	WBGene00220825
Bm567	Bm_v4_Chr2_contig_001	6132056	6133500	1	WBGene00220828
Bm568	Bm_v4_Chr2_contig_001	6195747	6197109	1	WBGene00220829
Bm570	Bm_v4_Chr2_contig_001	6322229	6322878	1	WBGene00220831
Bm573	Bm_v4_Chr2_contig_001	6512825	6518642	1	WBGene00220834
Bm574	Bm_v4_Chr2_contig_001	6520433	6522507	1	WBGene00220835
Bm575	Bm_v4_Chr2_contig_001	6556989	6558487	-1	WBGene00220836
Bm578	Bm_v4_Chr4_scaffold_001	2976243	2981907	1	WBGene00220839
Bm579	Bm_v4_Chr4_scaffold_001	2613345	2614058	1	WBGene00220840
Bm583	Bm_v4_Chr4_scaffold_001	8768169	8772776	-1	WBGene00220844
Bm584	Bm_v4_Chr4_scaffold_001	8280242	8281551	1	WBGene00220845
Bm585	Bm_192	6831	7643	1	WBGene00220846
Bm588	Bm_v4_Chr4_scaffold_001	7918093	7920440	-1	WBGene00220849
Bm590	Bm_v4_Chr4_scaffold_001	7606808	7607469	-1	WBGene00220851
Bm592	Bm_v4_Chr4_scaffold_001	7522824	7524037	-1	WBGene00220853
Bm593	Bm_v4_Chr4_scaffold_001	4102260	4106847	1	WBGene00220854
Bm594	Bm_v4_Chr4_scaffold_001	4350318	4352257	1	WBGene00220855
Bm599	Bm_v4_Chr4_scaffold_001	9660641	9665825	1	WBGene00220860
Bm601	Bm_v4_Chr1_scaffold_001	7218153	7218475	1	WBGene00220862
Bm604	Bm_v4_Chr1_scaffold_001	7349749	7353508	1	WBGene00220865
Bm605	Bm_v4_Chr1_scaffold_001	7421268	7424565	1	WBGene00220866
Bm606	Bm_v4_Chr1_scaffold_001	7432319	7433859	-1	WBGene00220867
Bm609	Bm_v4_Chr1_scaffold_001	7582299	7588507	1	WBGene00220870
Bm612	Bm_v4_Chr1_scaffold_001	7108103	7108285	-1	WBGene00220873
Bm614	Bm_227	2033	2785	-1	WBGene00220875
Bm616	Bm_v4_Chr1_scaffold_001	6976945	6980760	1	WBGene00220877
Bm617	Bm_v4_Chr1_scaffold_001	6960254	6960427	1	WBGene00220878
Bm618	Bm_v4_Chr1_scaffold_001	6931393	6933535	1	WBGene00220879
Bm619	Bm_v4_Chr1_scaffold_001	6861877	6862792	-1	WBGene00220880
Bm620	Bm_v4_Chr1_scaffold_001	6667277	6667443	-1	WBGene00220881
Bm621	Bm_v4_Chr1_scaffold_001	6618336	6620688	1	WBGene00220882
Bm623	Bm_v4_Chr3_scaffold_001	2004600	2004978	1	WBGene00220884
Bm624	Bm_v4_Chr1_scaffold_001	4844813	4847483	-1	WBGene00220885
Bm625	Bm_v4_Chr1_scaffold_001	4861269	4862563	-1	WBGene00220886
Bm626	Bm_v4_Chr1_scaffold_001	3916088	3919370	-1	WBGene00220887
Bm628	Bm_v4_Chr1_scaffold_001	3745397	3746703	-1	WBGene00220889
Bm629	Bm_v4_Chr2_contig_001	11420728	11424347	-1	WBGene00220890
Bm630	Bm_v4_ChrX_scaffold_001	11163233	11171377	-1	WBGene00220891
Bm632	Bm_008	439807	440115	1	WBGene00220893
Bm635	Bm_v4_Chr4_scaffold_001	3144537	3146943	-1	WBGene00220896
Bm636	Bm_v4_Chr4_scaffold_001	3219990	3221138	-1	WBGene00220897
Bm637	Bm_v4_Chr4_scaffold_001	3238150	3240095	-1	WBGene00220898
Bm648	Bm_v4_Chr1_scaffold_001	9362632	9363342	-1	WBGene00220909
Bm653	Bm_v4_Chr1_scaffold_001	8979989	8981123	1	WBGene00220914
Bm654	Bm_v4_Chr1_scaffold_001	8931750	8931956	1	WBGene00220915
Bm659	Bm_v4_Chr1_scaffold_001	8515792	8517118	1	WBGene00220920
Bm660	Bm_v4_Chr1_scaffold_001	8400985	8404848	1	WBGene00220921
Bm661	Bm_v4_Chr1_scaffold_001	8367421	8368470	1	WBGene00220922
Bm664	Bm_v4_Chr1_scaffold_001	8034076	8035359	1	WBGene00220925
Bm667	Bm_v4_Chr1_scaffold_001	8012469	8014154	1	WBGene00220928
Bm668	Bm_v4_Chr1_scaffold_001	8004842	8006030	-1	WBGene00220929
Bm669	Bm_v4_Chr1_scaffold_001	7981813	7981980	-1	WBGene00220930
Bm674	Bm_v4_Chr1_scaffold_001	5860409	5861754	-1	WBGene00220935
Bm675	Bm_v4_Chr1_scaffold_001	5808734	5809626	-1	WBGene00220936
Bm678	Bm_v4_Chr1_scaffold_001	5729985	5731213	1	WBGene00220939
Bm682	Bm_v4_ChrX_scaffold_001	3463828	3464328	1	WBGene00220943
Bm683	Bm_v4_ChrX_scaffold_001	3464353	3465310	1	WBGene00220944
Bm688	Bm_v4_ChrX_scaffold_001	4096095	4098586	-1	WBGene00220949
Bm692	Bm_v4_ChrX_scaffold_001	4264929	4265291	-1	WBGene00220953
Bm693	Bm_v4_ChrX_scaffold_001	4335418	4336326	-1	WBGene00220954
Bm694	Bm_v4_ChrX_scaffold_001	4382082	4383471	1	WBGene00220955
Bm695	Bm_v4_ChrX_scaffold_001	4422805	4425042	-1	WBGene00220956
Bm699	Bm_v4_ChrX_scaffold_001	5083463	5087957	-1	WBGene00220960
Bm700	Bm_v4_ChrX_scaffold_001	5229493	5229958	-1	WBGene00220961
Bm709	Bm_v4_ChrX_scaffold_001	21741567	21742675	1	WBGene00220970
Bm714	Bm_v4_Chr2_contig_001	10781011	10781766	-1	WBGene00220975
Bm719	Bm_v4_Chr3_scaffold_001	3409474	3410538	-1	WBGene00220980
Bm720	Bm_v4_Chr1_scaffold_001	47760	52241	1	WBGene00220981
Bm721	Bm_v4_Chr3_scaffold_001	11828154	11830172	1	WBGene00220982
Bm724	Bm_v4_Chr1_scaffold_001	9310118	9315308	-1	WBGene00220985
Bm725	Bm_v4_Chr1_scaffold_001	8658640	8659778	1	WBGene00220986
Bm728	Bm_v4_Chr3_scaffold_001	8666142	8667990	1	WBGene00220989
Bm729	Bm_v4_Chr1_scaffold_001	8281888	8290517	1	WBGene00220990
